,2020-INTERNATIONAL BUSINESS MACHINES-CSR,2020-INTERNATIONAL BUSINESS MACHINES-Annual,max
Biodiversity and Land Use,52,20,52
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,5,5
Financing Environmental Impact,1,8,8
Opportunities in Clean Tech,3,0,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,4,2,4
Packaging Material and Waste,32,19,32
Product Carbon Footprint,0,1,1
Raw Material Sourcing,1,1,1
Toxic Emissions and Waste,0,0,0
Water Stress,42,11,42
Accounting,0,0,0
Board,0,0,0
Business Ethics,49,65,65
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,5,5
Access to Communications,0,2,2
Access to Finance,0,4,4
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,45,119,119
Controversial Sourcing,0,0,0
Financial Product Safety,0,4,4
Health and Demographic Risk,0,0,0
Health and Safety,32,34,34
Human Capital Development,84,130,130
Labor Management,39,171,171
Opportunities in Nutrition and Health,1,17,17
Privacy and Data Security,91,331,331
Product Safety and Quality,11,54,54
Responsible Investment,0,2,2
Supply Chain Labor Standards,52,134,134
Not ESG,59,1538,1538
