,2020-ITAU UNIBANCO HOLDING-ESG,max
Biodiversity and Land Use,223,223
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,5,5
Financing Environmental Impact,10,10
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,8,8
Packaging Material and Waste,56,56
Product Carbon Footprint,0,0
Raw Material Sourcing,4,4
Toxic Emissions and Waste,0,0
Water Stress,96,96
Accounting,0,0
Board,0,0
Business Ethics,140,140
Ownership and Control,1,1
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,190,190
Controversial Sourcing,2,2
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,118,118
Human Capital Development,173,173
Labor Management,445,445
Opportunities in Nutrition and Health,9,9
Privacy and Data Security,111,111
Product Safety and Quality,69,69
Responsible Investment,1,1
Supply Chain Labor Standards,134,134
Not ESG,449,449
