,2020-ITOCHU-ESG,2020-ITOCHU-Annual,max
Biodiversity and Land Use,502,71,502
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,5,5
Financing Environmental Impact,0,5,5
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,6,10,10
Packaging Material and Waste,165,39,165
Product Carbon Footprint,1,0,1
Raw Material Sourcing,5,17,17
Toxic Emissions and Waste,2,0,2
Water Stress,186,37,186
Accounting,0,0,0
Board,0,1,1
Business Ethics,107,21,107
Ownership and Control,0,7,7
Pay,0,0,0
Tax Transparency,0,3,3
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,149,62,149
Controversial Sourcing,0,0,0
Financial Product Safety,0,1,1
Health and Demographic Risk,0,0,0
Health and Safety,259,28,259
Human Capital Development,102,28,102
Labor Management,511,278,511
Opportunities in Nutrition and Health,2,3,3
Privacy and Data Security,65,15,65
Product Safety and Quality,254,49,254
Responsible Investment,0,5,5
Supply Chain Labor Standards,236,106,236
Not ESG,375,326,375
