,2020-Intel-10K,2020-Intel-CSR,max
Biodiversity and Land Use,33,142,142
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,1,1
Electronic Waste,0,1,1
Financing Environmental Impact,21,0,21
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,1,9,9
Packaging Material and Waste,62,111,111
Product Carbon Footprint,0,4,4
Raw Material Sourcing,1,1,1
Toxic Emissions and Waste,0,1,1
Water Stress,21,153,153
Accounting,0,0,0
Board,0,0,0
Business Ethics,63,78,78
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,106,2,106
Access to Communications,0,1,1
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,71,212,212
Controversial Sourcing,0,0,0
Financial Product Safety,2,0,2
Health and Demographic Risk,0,1,1
Health and Safety,26,111,111
Human Capital Development,67,225,225
Labor Management,54,95,95
Opportunities in Nutrition and Health,5,4,5
Privacy and Data Security,218,117,218
Product Safety and Quality,177,85,177
Responsible Investment,0,1,1
Supply Chain Labor Standards,174,190,190
Not ESG,1132,214,1132
