,2020-J. SAINSBURY-Sustainability,2020-J. SAINSBURY-Annual,max
Biodiversity and Land Use,108,88,108
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,3,3
Financing Environmental Impact,0,21,21
Opportunities in Clean Tech,1,2,2
Opportunities in Green Building,0,1,1
Opportunities in Renewable Energy,0,2,2
Packaging Material and Waste,47,29,47
Product Carbon Footprint,0,2,2
Raw Material Sourcing,1,8,8
Toxic Emissions and Waste,1,1,1
Water Stress,26,32,32
Accounting,0,1,1
Board,0,0,0
Business Ethics,6,115,115
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,0,11,11
Access to Communications,0,0,0
Access to Finance,0,2,2
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,60,193,193
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,3,3
Health and Safety,11,89,89
Human Capital Development,15,173,173
Labor Management,27,338,338
Opportunities in Nutrition and Health,3,6,6
Privacy and Data Security,3,75,75
Product Safety and Quality,5,73,73
Responsible Investment,0,2,2
Supply Chain Labor Standards,50,275,275
Not ESG,44,1882,1882
