,2020-JAPAN POST HOLDINGS-Sustainability,max
Biodiversity and Land Use,30,30
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,7,7
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,10,10
Accounting,0,0
Board,0,0
Business Ethics,16,16
Ownership and Control,0,0
Pay,0,0
Tax Transparency,2,2
Access to Communications,2,2
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,38,38
Controversial Sourcing,1,1
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,31,31
Human Capital Development,4,4
Labor Management,61,61
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,8,8
Product Safety and Quality,34,34
Responsible Investment,0,0
Supply Chain Labor Standards,10,10
Not ESG,97,97
