,2020-JARDINE MATHESON-Annual,max
Biodiversity and Land Use,0,0
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,0,0
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,0,0
Accounting,0,0
Board,0,0
Business Ethics,0,0
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,0,0
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,0,0
Human Capital Development,0,0
Labor Management,4,4
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,0,0
Product Safety and Quality,0,0
Responsible Investment,0,0
Supply Chain Labor Standards,0,0
Not ESG,4,4
