,2020-JBS-Sustainability,max
Biodiversity and Land Use,354,354
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,3,3
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,2,2
Packaging Material and Waste,143,143
Product Carbon Footprint,1,1
Raw Material Sourcing,3,3
Toxic Emissions and Waste,2,2
Water Stress,72,72
Accounting,0,0
Board,0,0
Business Ethics,69,69
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,136,136
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,196,196
Human Capital Development,154,154
Labor Management,120,120
Opportunities in Nutrition and Health,12,12
Privacy and Data Security,17,17
Product Safety and Quality,190,190
Responsible Investment,0,0
Supply Chain Labor Standards,305,305
Not ESG,205,205
