,2020-JFE HOLDINGS-Annual,max
Biodiversity and Land Use,101,101
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,4,4
Financing Environmental Impact,3,3
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,164,164
Product Carbon Footprint,3,3
Raw Material Sourcing,14,14
Toxic Emissions and Waste,2,2
Water Stress,67,67
Accounting,0,0
Board,1,1
Business Ethics,44,44
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,62,62
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,0,0
Health and Safety,76,76
Human Capital Development,49,49
Labor Management,188,188
Opportunities in Nutrition and Health,3,3
Privacy and Data Security,71,71
Product Safety and Quality,75,75
Responsible Investment,1,1
Supply Chain Labor Standards,81,81
Not ESG,704,704
