,2020-JOHNSON _ JOHNSON-ESG,max
Biodiversity and Land Use,6,6
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,6,6
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,9,9
Accounting,0,0
Board,0,0
Business Ethics,3,3
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,13,13
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,33,33
Human Capital Development,9,9
Labor Management,11,11
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,4,4
Product Safety and Quality,4,4
Responsible Investment,0,0
Supply Chain Labor Standards,9,9
Not ESG,15,15
