,2020-KANSAI ELECTRIC POWER-ESG,max
Biodiversity and Land Use,93,93
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,7,7
Financing Environmental Impact,0,0
Opportunities in Clean Tech,4,4
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,17,17
Packaging Material and Waste,40,40
Product Carbon Footprint,2,2
Raw Material Sourcing,2,2
Toxic Emissions and Waste,7,7
Water Stress,136,136
Accounting,0,0
Board,0,0
Business Ethics,43,43
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,1,1
Chemical Safety,3,3
Community Relations,52,52
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,116,116
Human Capital Development,23,23
Labor Management,117,117
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,24,24
Product Safety and Quality,89,89
Responsible Investment,0,0
Supply Chain Labor Standards,14,14
Not ESG,236,236
