,2020-KB FINANCIAL GROUP-ESG,2020-KB FINANCIAL GROUP-Annual,max
Biodiversity and Land Use,82,16,82
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,7,7
Financing Environmental Impact,6,18,18
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,4,5,5
Packaging Material and Waste,9,8,9
Product Carbon Footprint,2,0,2
Raw Material Sourcing,0,2,2
Toxic Emissions and Waste,0,0,0
Water Stress,30,11,30
Accounting,0,0,0
Board,1,0,1
Business Ethics,39,11,39
Ownership and Control,0,7,7
Pay,0,1,1
Tax Transparency,3,4,4
Access to Communications,0,1,1
Access to Finance,1,5,5
Access to Health Care,0,0,0
Chemical Safety,0,3,3
Community Relations,56,49,56
Controversial Sourcing,0,0,0
Financial Product Safety,2,1,2
Health and Demographic Risk,0,1,1
Health and Safety,38,19,38
Human Capital Development,50,17,50
Labor Management,176,179,179
Opportunities in Nutrition and Health,4,7,7
Privacy and Data Security,50,24,50
Product Safety and Quality,47,41,47
Responsible Investment,2,6,6
Supply Chain Labor Standards,39,35,39
Not ESG,225,364,364
