,2020-KDDI-Sustainability,2020-KDDI-Annual,max
Biodiversity and Land Use,109,25,109
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,1,1
Electronic Waste,5,9,9
Financing Environmental Impact,2,8,8
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,6,9,9
Packaging Material and Waste,34,3,34
Product Carbon Footprint,0,1,1
Raw Material Sourcing,6,2,6
Toxic Emissions and Waste,5,1,5
Water Stress,36,12,36
Accounting,0,4,4
Board,0,0,0
Business Ethics,64,16,64
Ownership and Control,0,6,6
Pay,0,0,0
Tax Transparency,1,8,8
Access to Communications,1,6,6
Access to Finance,0,3,3
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,100,46,100
Controversial Sourcing,0,2,2
Financial Product Safety,0,3,3
Health and Demographic Risk,1,0,1
Health and Safety,117,29,117
Human Capital Development,80,15,80
Labor Management,341,196,341
Opportunities in Nutrition and Health,2,0,2
Privacy and Data Security,174,70,174
Product Safety and Quality,95,18,95
Responsible Investment,1,3,3
Supply Chain Labor Standards,63,14,63
Not ESG,361,694,694
