,2020-KLA-10K,2020-KLA-Annual,2020-KLA-ESG,max
Biodiversity and Land Use,21,16,46,46
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,1,7,0,7
Financing Environmental Impact,1,7,0,7
Opportunities in Clean Tech,0,0,0,0
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,1,1,1
Packaging Material and Waste,59,52,50,59
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,1,5,0,5
Toxic Emissions and Waste,0,0,0,0
Water Stress,21,20,33,33
Accounting,0,2,0,2
Board,0,0,0,0
Business Ethics,77,59,47,77
Ownership and Control,0,0,0,0
Pay,0,0,0,0
Tax Transparency,191,10,0,191
Access to Communications,1,2,0,2
Access to Finance,1,2,0,2
Access to Health Care,0,0,0,0
Chemical Safety,0,1,0,1
Community Relations,79,70,108,108
Controversial Sourcing,1,0,0,1
Financial Product Safety,3,3,1,3
Health and Demographic Risk,0,0,0,0
Health and Safety,32,36,42,42
Human Capital Development,43,40,80,80
Labor Management,56,75,49,75
Opportunities in Nutrition and Health,3,4,0,4
Privacy and Data Security,62,65,34,65
Product Safety and Quality,170,164,30,170
Responsible Investment,0,2,0,2
Supply Chain Labor Standards,106,87,53,106
Not ESG,1217,1158,91,1217
