,2020-KOC HOLDING-Annual,max
Biodiversity and Land Use,17,17
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,13,13
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,22,22
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,8,8
Accounting,7,7
Board,1,1
Business Ethics,74,74
Ownership and Control,2,2
Pay,1,1
Tax Transparency,21,21
Access to Communications,0,0
Access to Finance,6,6
Access to Health Care,0,0
Chemical Safety,4,4
Community Relations,101,101
Controversial Sourcing,5,5
Financial Product Safety,1,1
Health and Demographic Risk,2,2
Health and Safety,106,106
Human Capital Development,51,51
Labor Management,60,60
Opportunities in Nutrition and Health,18,18
Privacy and Data Security,48,48
Product Safety and Quality,80,80
Responsible Investment,0,0
Supply Chain Labor Standards,139,139
Not ESG,712,712
