,2020-KOREA ELECTRIC POWER-Sustainability,max
Biodiversity and Land Use,91,91
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,1,1
Financing Environmental Impact,1,1
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,22,22
Packaging Material and Waste,19,19
Product Carbon Footprint,2,2
Raw Material Sourcing,1,1
Toxic Emissions and Waste,0,0
Water Stress,173,173
Accounting,0,0
Board,0,0
Business Ethics,44,44
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,42,42
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,71,71
Human Capital Development,16,16
Labor Management,135,135
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,37,37
Product Safety and Quality,49,49
Responsible Investment,0,0
Supply Chain Labor Standards,37,37
Not ESG,301,301
