,2020-KOÇ HOLDING-Annual,2020-KOÇ HOLDING-Sustainability,max
Biodiversity and Land Use,17,87,87
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,0,2
Financing Environmental Impact,13,1,13
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,1,1
Packaging Material and Waste,22,19,22
Product Carbon Footprint,0,1,1
Raw Material Sourcing,2,2,2
Toxic Emissions and Waste,0,0,0
Water Stress,8,19,19
Accounting,7,0,7
Board,1,0,1
Business Ethics,74,26,74
Ownership and Control,2,0,2
Pay,1,0,1
Tax Transparency,21,0,21
Access to Communications,0,1,1
Access to Finance,6,0,6
Access to Health Care,0,0,0
Chemical Safety,4,0,4
Community Relations,101,57,101
Controversial Sourcing,5,0,5
Financial Product Safety,1,0,1
Health and Demographic Risk,2,0,2
Health and Safety,106,23,106
Human Capital Development,51,35,51
Labor Management,60,85,85
Opportunities in Nutrition and Health,18,1,18
Privacy and Data Security,48,31,48
Product Safety and Quality,80,34,80
Responsible Investment,0,0,0
Supply Chain Labor Standards,139,41,139
Not ESG,712,79,712
