,2020-LAM-Annual,2020-LAM-ESG,2020-LAM-10K,max
Biodiversity and Land Use,21,53,14,53
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,7,1,1,7
Financing Environmental Impact,7,2,11,11
Opportunities in Clean Tech,2,1,0,2
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,3,0,3
Packaging Material and Waste,42,45,40,45
Product Carbon Footprint,0,1,0,1
Raw Material Sourcing,10,2,1,10
Toxic Emissions and Waste,4,0,0,4
Water Stress,24,51,21,51
Accounting,11,0,1,11
Board,2,0,1,2
Business Ethics,105,59,50,105
Ownership and Control,3,0,0,3
Pay,0,0,0,0
Tax Transparency,16,0,121,121
Access to Communications,1,0,0,1
Access to Finance,3,1,0,3
Access to Health Care,0,0,0,0
Chemical Safety,7,0,2,7
Community Relations,98,79,49,98
Controversial Sourcing,2,0,2,2
Financial Product Safety,4,0,4,4
Health and Demographic Risk,1,0,1,1
Health and Safety,28,54,12,54
Human Capital Development,247,126,34,247
Labor Management,174,58,41,174
Opportunities in Nutrition and Health,15,3,2,15
Privacy and Data Security,82,22,51,82
Product Safety and Quality,105,42,88,105
Responsible Investment,3,0,0,3
Supply Chain Labor Standards,117,78,87,117
Not ESG,1565,105,979,1565
