,2020-LENOVO GROUP-Annual,2020-LENOVO GROUP-ESG,max
Biodiversity and Land Use,40,94,94
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,8,2,8
Financing Environmental Impact,4,0,4
Opportunities in Clean Tech,11,3,11
Opportunities in Green Building,3,0,3
Opportunities in Renewable Energy,1,5,5
Packaging Material and Waste,16,172,172
Product Carbon Footprint,2,0,2
Raw Material Sourcing,3,1,3
Toxic Emissions and Waste,0,3,3
Water Stress,12,95,95
Accounting,0,0,0
Board,0,0,0
Business Ethics,88,49,88
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,2,0,2
Access to Communications,1,0,1
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,1,2,2
Community Relations,87,67,87
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,0,0,0
Health and Safety,64,65,65
Human Capital Development,96,57,96
Labor Management,273,74,273
Opportunities in Nutrition and Health,3,1,3
Privacy and Data Security,117,55,117
Product Safety and Quality,143,125,143
Responsible Investment,0,0,0
Supply Chain Labor Standards,94,89,94
Not ESG,1255,140,1255
