,2020-LG CHEM-Sustainability,2020-LG CHEM-ESG,max
Biodiversity and Land Use,80,2,80
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,6,6
Financing Environmental Impact,0,1,1
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,0,3
Packaging Material and Waste,92,0,92
Product Carbon Footprint,4,0,4
Raw Material Sourcing,3,0,3
Toxic Emissions and Waste,1,0,1
Water Stress,22,2,22
Accounting,0,0,0
Board,0,0,0
Business Ethics,2,35,35
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,1,1
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,10,3,10
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,19,5,19
Human Capital Development,5,10,10
Labor Management,29,118,118
Opportunities in Nutrition and Health,0,1,1
Privacy and Data Security,3,18,18
Product Safety and Quality,14,41,41
Responsible Investment,0,0,0
Supply Chain Labor Standards,26,9,26
Not ESG,36,231,231
