,2020-LG ELECTRONICS-Sustainability,max
Biodiversity and Land Use,125,125
Carbon Emissions,0,0
Climate Change Vulnerability,1,1
Electronic Waste,14,14
Financing Environmental Impact,0,0
Opportunities in Clean Tech,3,3
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,94,94
Product Carbon Footprint,2,2
Raw Material Sourcing,12,12
Toxic Emissions and Waste,1,1
Water Stress,48,48
Accounting,0,0
Board,0,0
Business Ethics,32,32
Ownership and Control,1,1
Pay,0,0
Tax Transparency,4,4
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,41,41
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,2,2
Health and Safety,66,66
Human Capital Development,30,30
Labor Management,144,144
Opportunities in Nutrition and Health,5,5
Privacy and Data Security,31,31
Product Safety and Quality,146,146
Responsible Investment,0,0
Supply Chain Labor Standards,70,70
Not ESG,198,198
