,2020-LLOYDS BANKING GROUP-Annual,max
Biodiversity and Land Use,165,165
Carbon Emissions,1,1
Climate Change Vulnerability,1,1
Electronic Waste,7,7
Financing Environmental Impact,97,97
Opportunities in Clean Tech,10,10
Opportunities in Green Building,2,2
Opportunities in Renewable Energy,13,13
Packaging Material and Waste,26,26
Product Carbon Footprint,2,2
Raw Material Sourcing,4,4
Toxic Emissions and Waste,5,5
Water Stress,67,67
Accounting,5,5
Board,1,1
Business Ethics,202,202
Ownership and Control,2,2
Pay,0,0
Tax Transparency,12,12
Access to Communications,1,1
Access to Finance,11,11
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,444,444
Controversial Sourcing,7,7
Financial Product Safety,5,5
Health and Demographic Risk,5,5
Health and Safety,389,389
Human Capital Development,291,291
Labor Management,582,582
Opportunities in Nutrition and Health,20,20
Privacy and Data Security,193,193
Product Safety and Quality,199,199
Responsible Investment,4,4
Supply Chain Labor Standards,232,232
Not ESG,3428,3428
