,2020-LOCKHEED MARTIN-Annual,max
Biodiversity and Land Use,42,42
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,10,10
Financing Environmental Impact,4,4
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,27,27
Product Carbon Footprint,0,0
Raw Material Sourcing,4,4
Toxic Emissions and Waste,1,1
Water Stress,12,12
Accounting,2,2
Board,2,2
Business Ethics,88,88
Ownership and Control,2,2
Pay,0,0
Tax Transparency,4,4
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,1,1
Chemical Safety,1,1
Community Relations,148,148
Controversial Sourcing,0,0
Financial Product Safety,3,3
Health and Demographic Risk,3,3
Health and Safety,59,59
Human Capital Development,130,130
Labor Management,86,86
Opportunities in Nutrition and Health,7,7
Privacy and Data Security,97,97
Product Safety and Quality,129,129
Responsible Investment,1,1
Supply Chain Labor Standards,181,181
Not ESG,1156,1156
