,2020-LOWE_S-CSR,2020-LOWE_S-Annual,max
Biodiversity and Land Use,95,3,95
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,0,0
Financing Environmental Impact,1,0,1
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,50,2,50
Product Carbon Footprint,2,0,2
Raw Material Sourcing,1,0,1
Toxic Emissions and Waste,1,0,1
Water Stress,38,3,38
Accounting,0,1,1
Board,0,0,0
Business Ethics,39,7,39
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,0,2,2
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,1,1,1
Community Relations,91,23,91
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,54,5,54
Human Capital Development,121,14,121
Labor Management,21,11,21
Opportunities in Nutrition and Health,1,1,1
Privacy and Data Security,33,4,33
Product Safety and Quality,31,12,31
Responsible Investment,0,0,0
Supply Chain Labor Standards,48,16,48
Not ESG,41,55,55
