,2020-LUFTHANSA GROUP-Annual,max
Biodiversity and Land Use,122,122
Carbon Emissions,1,1
Climate Change Vulnerability,0,0
Electronic Waste,26,26
Financing Environmental Impact,33,33
Opportunities in Clean Tech,7,7
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,100,100
Product Carbon Footprint,5,5
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,20,20
Accounting,1,1
Board,0,0
Business Ethics,47,47
Ownership and Control,2,2
Pay,0,0
Tax Transparency,7,7
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,100,100
Controversial Sourcing,6,6
Financial Product Safety,2,2
Health and Demographic Risk,0,0
Health and Safety,169,169
Human Capital Development,79,79
Labor Management,461,461
Opportunities in Nutrition and Health,11,11
Privacy and Data Security,59,59
Product Safety and Quality,189,189
Responsible Investment,3,3
Supply Chain Labor Standards,96,96
Not ESG,3420,3420
