,2020-MAERSK GROUP-Annual,max
Biodiversity and Land Use,50,50
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,9,9
Financing Environmental Impact,13,13
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,76,76
Product Carbon Footprint,2,2
Raw Material Sourcing,7,7
Toxic Emissions and Waste,0,0
Water Stress,24,24
Accounting,2,2
Board,0,0
Business Ethics,34,34
Ownership and Control,2,2
Pay,0,0
Tax Transparency,11,11
Access to Communications,0,0
Access to Finance,2,2
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,24,24
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,1,1
Health and Safety,41,41
Human Capital Development,23,23
Labor Management,189,189
Opportunities in Nutrition and Health,5,5
Privacy and Data Security,23,23
Product Safety and Quality,54,54
Responsible Investment,1,1
Supply Chain Labor Standards,119,119
Not ESG,1386,1386
