,2020-MAGNA INTERNATIONAL-Annual,2020-MAGNA INTERNATIONAL-Sustainability,max
Biodiversity and Land Use,10,82,82
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,0,1
Financing Environmental Impact,3,0,3
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,1,5,5
Packaging Material and Waste,29,47,47
Product Carbon Footprint,0,2,2
Raw Material Sourcing,2,0,2
Toxic Emissions and Waste,0,0,0
Water Stress,2,40,40
Accounting,2,0,2
Board,0,0,0
Business Ethics,21,24,24
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,2,0,2
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,1,2,2
Community Relations,31,25,31
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,2,2
Health and Safety,21,28,28
Human Capital Development,22,19,22
Labor Management,50,29,50
Opportunities in Nutrition and Health,2,0,2
Privacy and Data Security,16,32,32
Product Safety and Quality,75,33,75
Responsible Investment,1,0,1
Supply Chain Labor Standards,64,35,64
Not ESG,547,108,547
