,2020-MANULIFE FINANCIAL-Sustainability,max
Biodiversity and Land Use,180,180
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,2,2
Opportunities in Clean Tech,3,3
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,7,7
Packaging Material and Waste,8,8
Product Carbon Footprint,2,2
Raw Material Sourcing,0,0
Toxic Emissions and Waste,2,2
Water Stress,47,47
Accounting,0,0
Board,0,0
Business Ethics,54,54
Ownership and Control,0,0
Pay,0,0
Tax Transparency,2,2
Access to Communications,1,1
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,146,146
Controversial Sourcing,1,1
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,42,42
Human Capital Development,109,109
Labor Management,67,67
Opportunities in Nutrition and Health,3,3
Privacy and Data Security,41,41
Product Safety and Quality,23,23
Responsible Investment,1,1
Supply Chain Labor Standards,49,49
Not ESG,129,129
