,2020-MARUBENI-Annual,max
Biodiversity and Land Use,176,176
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,11,11
Opportunities in Clean Tech,1,1
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,9,9
Packaging Material and Waste,64,64
Product Carbon Footprint,1,1
Raw Material Sourcing,13,13
Toxic Emissions and Waste,2,2
Water Stress,64,64
Accounting,0,0
Board,0,0
Business Ethics,50,50
Ownership and Control,3,3
Pay,0,0
Tax Transparency,2,2
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,98,98
Controversial Sourcing,0,0
Financial Product Safety,2,2
Health and Demographic Risk,0,0
Health and Safety,46,46
Human Capital Development,25,25
Labor Management,255,255
Opportunities in Nutrition and Health,4,4
Privacy and Data Security,23,23
Product Safety and Quality,45,45
Responsible Investment,1,1
Supply Chain Labor Standards,111,111
Not ESG,434,434
