,2020-MAZDA MOTOR-Annual,2020-MAZDA MOTOR-Sustainability,max
Biodiversity and Land Use,14,171,171
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,14,14
Financing Environmental Impact,2,3,3
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,8,8
Packaging Material and Waste,26,235,235
Product Carbon Footprint,0,2,2
Raw Material Sourcing,2,17,17
Toxic Emissions and Waste,0,6,6
Water Stress,2,69,69
Accounting,1,2,2
Board,0,0,0
Business Ethics,23,60,60
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,2,2,2
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,0,3,3
Community Relations,14,136,136
Controversial Sourcing,0,1,1
Financial Product Safety,1,1,1
Health and Demographic Risk,0,1,1
Health and Safety,36,171,171
Human Capital Development,5,49,49
Labor Management,102,325,325
Opportunities in Nutrition and Health,0,8,8
Privacy and Data Security,17,53,53
Product Safety and Quality,104,413,413
Responsible Investment,0,0,0
Supply Chain Labor Standards,28,127,127
Not ESG,220,439,439
