,2020-MCKESSON-10K,2020-MCKESSON-CSR,max
Biodiversity and Land Use,28,34,34
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,0,2
Financing Environmental Impact,8,0,8
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,0,0
Packaging Material and Waste,27,42,42
Product Carbon Footprint,0,0,0
Raw Material Sourcing,1,0,1
Toxic Emissions and Waste,0,0,0
Water Stress,2,31,31
Accounting,5,0,5
Board,3,0,3
Business Ethics,113,68,113
Ownership and Control,8,0,8
Pay,0,0,0
Tax Transparency,16,0,16
Access to Communications,3,0,3
Access to Finance,8,0,8
Access to Health Care,0,0,0
Chemical Safety,8,0,8
Community Relations,149,95,149
Controversial Sourcing,3,0,3
Financial Product Safety,1,0,1
Health and Demographic Risk,0,0,0
Health and Safety,133,77,133
Human Capital Development,105,91,105
Labor Management,122,38,122
Opportunities in Nutrition and Health,14,2,14
Privacy and Data Security,95,22,95
Product Safety and Quality,65,51,65
Responsible Investment,1,0,1
Supply Chain Labor Standards,186,56,186
Not ESG,1693,58,1693
