,2020-MEDIPAL HOLDINGS-Annual,max
Biodiversity and Land Use,20,20
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,7,7
Financing Environmental Impact,3,3
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,39,39
Product Carbon Footprint,0,0
Raw Material Sourcing,9,9
Toxic Emissions and Waste,0,0
Water Stress,4,4
Accounting,3,3
Board,0,0
Business Ethics,33,33
Ownership and Control,1,1
Pay,0,0
Tax Transparency,3,3
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,5,5
Community Relations,49,49
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,4,4
Health and Safety,185,185
Human Capital Development,21,21
Labor Management,183,183
Opportunities in Nutrition and Health,15,15
Privacy and Data Security,40,40
Product Safety and Quality,80,80
Responsible Investment,2,2
Supply Chain Labor Standards,86,86
Not ESG,306,306
