,2020-MERCK-10K,max
Biodiversity and Land Use,20,20
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,6,6
Financing Environmental Impact,10,10
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,37,37
Product Carbon Footprint,0,0
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,5,5
Accounting,7,7
Board,0,0
Business Ethics,72,72
Ownership and Control,3,3
Pay,0,0
Tax Transparency,9,9
Access to Communications,0,0
Access to Finance,5,5
Access to Health Care,0,0
Chemical Safety,10,10
Community Relations,100,100
Controversial Sourcing,3,3
Financial Product Safety,3,3
Health and Demographic Risk,9,9
Health and Safety,357,357
Human Capital Development,68,68
Labor Management,122,122
Opportunities in Nutrition and Health,20,20
Privacy and Data Security,58,58
Product Safety and Quality,223,223
Responsible Investment,3,3
Supply Chain Labor Standards,165,165
Not ESG,1409,1409
