,2020-META PLATFORMS-10K,2020-META PLATFORMS-Sustainability,max
Biodiversity and Land Use,4,168,168
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,0,2
Financing Environmental Impact,15,0,15
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,3,3
Packaging Material and Waste,2,34,34
Product Carbon Footprint,1,0,1
Raw Material Sourcing,1,1,1
Toxic Emissions and Waste,0,0,0
Water Stress,2,126,126
Accounting,1,0,1
Board,1,0,1
Business Ethics,119,9,119
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,109,1,109
Access to Communications,3,0,3
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,66,37,66
Controversial Sourcing,1,0,1
Financial Product Safety,2,0,2
Health and Demographic Risk,0,0,0
Health and Safety,14,8,14
Human Capital Development,29,2,29
Labor Management,77,7,77
Opportunities in Nutrition and Health,7,0,7
Privacy and Data Security,252,23,252
Product Safety and Quality,77,2,77
Responsible Investment,0,0,0
Supply Chain Labor Standards,119,38,119
Not ESG,746,34,746
