,2020-METLIFE-Annual,2020-METLIFE-Sustainability,max
Biodiversity and Land Use,34,155,155
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,1,1
Financing Environmental Impact,10,4,10
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,8,8
Packaging Material and Waste,11,17,17
Product Carbon Footprint,0,0,0
Raw Material Sourcing,1,0,1
Toxic Emissions and Waste,0,0,0
Water Stress,19,44,44
Accounting,8,0,8
Board,5,0,5
Business Ethics,175,85,175
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,8,2,8
Access to Communications,1,0,1
Access to Finance,6,0,6
Access to Health Care,0,0,0
Chemical Safety,3,0,3
Community Relations,240,346,346
Controversial Sourcing,2,0,2
Financial Product Safety,5,0,5
Health and Demographic Risk,5,1,5
Health and Safety,129,72,129
Human Capital Development,158,163,163
Labor Management,155,137,155
Opportunities in Nutrition and Health,27,8,27
Privacy and Data Security,88,62,88
Product Safety and Quality,120,52,120
Responsible Investment,2,0,2
Supply Chain Labor Standards,315,106,315
Not ESG,3140,207,3140
