,2020-MICROSOFT-10K,2020-MICROSOFT-Annual,2020-MICROSOFT-Sustainability,2020-MICROSOFT-CSR,max
Biodiversity and Land Use,12,15,298,20,298
Carbon Emissions,0,0,0,0,0
Climate Change Vulnerability,0,0,0,0,0
Electronic Waste,2,0,0,1,2
Financing Environmental Impact,3,5,0,0,5
Opportunities in Clean Tech,1,1,2,1,2
Opportunities in Green Building,0,0,0,0,0
Opportunities in Renewable Energy,0,1,4,0,4
Packaging Material and Waste,26,21,158,3,158
Product Carbon Footprint,0,0,2,0,2
Raw Material Sourcing,0,0,0,0,0
Toxic Emissions and Waste,0,0,1,0,1
Water Stress,9,8,220,17,220
Accounting,3,0,0,0,3
Board,0,0,0,0,0
Business Ethics,80,50,23,28,80
Ownership and Control,0,0,0,0,0
Pay,0,0,0,0,0
Tax Transparency,114,4,0,0,114
Access to Communications,1,1,0,2,2
Access to Finance,3,0,0,0,3
Access to Health Care,0,0,0,0,0
Chemical Safety,0,0,0,0,0
Community Relations,90,98,34,122,122
Controversial Sourcing,2,0,0,0,2
Financial Product Safety,2,1,0,0,2
Health and Demographic Risk,0,2,0,0,2
Health and Safety,14,9,12,8,14
Human Capital Development,46,45,13,28,46
Labor Management,63,63,18,21,63
Opportunities in Nutrition and Health,1,7,0,0,7
Privacy and Data Security,311,213,40,92,311
Product Safety and Quality,93,61,14,3,93
Responsible Investment,0,0,1,0,1
Supply Chain Labor Standards,176,112,40,24,176
Not ESG,629,520,130,28,629
