,2020-MITSUBISHI CHEMICAL HOLDINGS-Sustainability,max
Biodiversity and Land Use,86,86
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,92,92
Product Carbon Footprint,0,0
Raw Material Sourcing,3,3
Toxic Emissions and Waste,0,0
Water Stress,23,23
Accounting,0,0
Board,0,0
Business Ethics,36,36
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,2,2
Community Relations,45,45
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,108,108
Human Capital Development,51,51
Labor Management,157,157
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,29,29
Product Safety and Quality,103,103
Responsible Investment,1,1
Supply Chain Labor Standards,36,36
Not ESG,97,97
