,2020-MITSUBISHI ELECTRIC-Annual,2020-MITSUBISHI ELECTRIC-Sustainability,max
Biodiversity and Land Use,28,78,78
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,9,10,10
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,3,3
Packaging Material and Waste,18,45,45
Product Carbon Footprint,0,0,0
Raw Material Sourcing,5,9,9
Toxic Emissions and Waste,0,0,0
Water Stress,20,48,48
Accounting,0,1,1
Board,0,0,0
Business Ethics,21,73,73
Ownership and Control,1,1,1
Pay,0,0,0
Tax Transparency,1,1,1
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,36,103,103
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,25,134,134
Human Capital Development,9,56,56
Labor Management,131,285,285
Opportunities in Nutrition and Health,3,3,3
Privacy and Data Security,53,133,133
Product Safety and Quality,77,245,245
Responsible Investment,0,0,0
Supply Chain Labor Standards,22,75,75
Not ESG,227,260,260
