,2020-MITSUBISHI HEAVY INDUSTRIES-ESG,2020-MITSUBISHI HEAVY INDUSTRIES-Annual,max
Biodiversity and Land Use,88,25,88
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,5,5
Financing Environmental Impact,2,3,3
Opportunities in Clean Tech,0,3,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,16,16
Packaging Material and Waste,39,11,39
Product Carbon Footprint,1,2,2
Raw Material Sourcing,2,9,9
Toxic Emissions and Waste,1,2,2
Water Stress,53,55,55
Accounting,0,1,1
Board,0,0,0
Business Ethics,85,24,85
Ownership and Control,1,0,1
Pay,0,1,1
Tax Transparency,2,3,3
Access to Communications,0,0,0
Access to Finance,0,2,2
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,60,39,60
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,80,24,80
Human Capital Development,35,19,35
Labor Management,157,127,157
Opportunities in Nutrition and Health,0,4,4
Privacy and Data Security,35,29,35
Product Safety and Quality,107,58,107
Responsible Investment,0,2,2
Supply Chain Labor Standards,45,27,45
Not ESG,152,202,202
