,2020-MITSUBISHI UFJ FINANCIAL GROUP-Sustainability,2020-MITSUBISHI UFJ FINANCIAL GROUP-Annual,max
Biodiversity and Land Use,2,62,62
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,1,1
Electronic Waste,0,2,2
Financing Environmental Impact,2,11,11
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,2,2
Packaging Material and Waste,0,10,10
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,1,1
Toxic Emissions and Waste,0,1,1
Water Stress,0,19,19
Accounting,0,1,1
Board,0,0,0
Business Ethics,0,66,66
Ownership and Control,0,2,2
Pay,0,0,0
Tax Transparency,0,2,2
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,1,121,121
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,0,38,38
Human Capital Development,0,85,85
Labor Management,1,238,238
Opportunities in Nutrition and Health,0,2,2
Privacy and Data Security,0,62,62
Product Safety and Quality,0,56,56
Responsible Investment,0,2,2
Supply Chain Labor Standards,1,87,87
Not ESG,2,469,469
