,2020-MITSUBISHI-Annual,max
Biodiversity and Land Use,28,28
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,9,9
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,18,18
Product Carbon Footprint,0,0
Raw Material Sourcing,5,5
Toxic Emissions and Waste,0,0
Water Stress,20,20
Accounting,0,0
Board,0,0
Business Ethics,21,21
Ownership and Control,1,1
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,36,36
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,25,25
Human Capital Development,9,9
Labor Management,131,131
Opportunities in Nutrition and Health,3,3
Privacy and Data Security,53,53
Product Safety and Quality,77,77
Responsible Investment,0,0
Supply Chain Labor Standards,22,22
Not ESG,227,227
