,2020-MITSUI-Sustainability,2020-MITSUI-Annual,max
Biodiversity and Land Use,40,96,96
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,0,4,4
Financing Environmental Impact,0,2,2
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,8,8
Packaging Material and Waste,10,44,44
Product Carbon Footprint,0,1,1
Raw Material Sourcing,2,4,4
Toxic Emissions and Waste,1,1,1
Water Stress,24,50,50
Accounting,0,0,0
Board,0,0,0
Business Ethics,10,71,71
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,0,1,1
Access to Communications,0,1,1
Access to Finance,0,3,3
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,16,86,86
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,9,59,59
Human Capital Development,8,48,48
Labor Management,26,355,355
Opportunities in Nutrition and Health,0,2,2
Privacy and Data Security,6,44,44
Product Safety and Quality,6,62,62
Responsible Investment,0,1,1
Supply Chain Labor Standards,10,107,107
Not ESG,16,427,427
