,2020-MIZUHO FINANCIAL GROUP-Annual,max
Biodiversity and Land Use,90,90
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,21,21
Financing Environmental Impact,67,67
Opportunities in Clean Tech,4,4
Opportunities in Green Building,1,1
Opportunities in Renewable Energy,9,9
Packaging Material and Waste,3,3
Product Carbon Footprint,1,1
Raw Material Sourcing,5,5
Toxic Emissions and Waste,1,1
Water Stress,35,35
Accounting,12,12
Board,0,0
Business Ethics,95,95
Ownership and Control,10,10
Pay,0,0
Tax Transparency,12,12
Access to Communications,0,0
Access to Finance,5,5
Access to Health Care,0,0
Chemical Safety,4,4
Community Relations,86,86
Controversial Sourcing,1,1
Financial Product Safety,17,17
Health and Demographic Risk,13,13
Health and Safety,116,116
Human Capital Development,61,61
Labor Management,433,433
Opportunities in Nutrition and Health,23,23
Privacy and Data Security,69,69
Product Safety and Quality,121,121
Responsible Investment,3,3
Supply Chain Labor Standards,98,98
Not ESG,1206,1206
