,2020-MONDELEZ INTERNATIONAL-ESG,2020-MONDELEZ INTERNATIONAL-10K,max
Biodiversity and Land Use,223,35,223
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,1,1
Financing Environmental Impact,1,12,12
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,107,49,107
Product Carbon Footprint,1,0,1
Raw Material Sourcing,2,7,7
Toxic Emissions and Waste,3,0,3
Water Stress,22,3,22
Accounting,0,1,1
Board,0,0,0
Business Ethics,31,73,73
Ownership and Control,0,1,1
Pay,0,0,0
Tax Transparency,0,16,16
Access to Communications,0,0,0
Access to Finance,0,7,7
Access to Health Care,0,0,0
Chemical Safety,1,2,2
Community Relations,166,100,166
Controversial Sourcing,0,3,3
Financial Product Safety,0,4,4
Health and Demographic Risk,0,1,1
Health and Safety,39,27,39
Human Capital Development,57,111,111
Labor Management,57,107,107
Opportunities in Nutrition and Health,13,14,14
Privacy and Data Security,2,58,58
Product Safety and Quality,34,109,109
Responsible Investment,0,1,1
Supply Chain Labor Standards,134,241,241
Not ESG,40,1073,1073
