,2020-MORGAN STANLEY-10K,2020-MORGAN STANLEY-Sustainability,max
Biodiversity and Land Use,10,140,140
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,0,0
Financing Environmental Impact,17,1,17
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,7,7
Packaging Material and Waste,5,24,24
Product Carbon Footprint,0,1,1
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,0,0
Water Stress,10,27,27
Accounting,8,0,8
Board,1,0,1
Business Ethics,200,53,200
Ownership and Control,3,0,3
Pay,2,0,2
Tax Transparency,2,0,2
Access to Communications,0,0,0
Access to Finance,6,0,6
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,235,134,235
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,2,0,2
Health and Safety,113,26,113
Human Capital Development,140,68,140
Labor Management,101,41,101
Opportunities in Nutrition and Health,6,0,6
Privacy and Data Security,113,28,113
Product Safety and Quality,68,13,68
Responsible Investment,1,0,1
Supply Chain Labor Standards,209,59,209
Not ESG,2037,99,2037
