,2020-Micron-Sustainability,2020-Micron-10K,max
Biodiversity and Land Use,72,16,72
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,3,3
Financing Environmental Impact,0,13,13
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,0,2
Packaging Material and Waste,28,44,44
Product Carbon Footprint,1,0,1
Raw Material Sourcing,2,1,2
Toxic Emissions and Waste,0,0,0
Water Stress,64,14,64
Accounting,0,0,0
Board,0,0,0
Business Ethics,39,58,58
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,133,133
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,58,78,78
Controversial Sourcing,1,0,1
Financial Product Safety,0,1,1
Health and Demographic Risk,0,0,0
Health and Safety,29,19,29
Human Capital Development,72,37,72
Labor Management,36,27,36
Opportunities in Nutrition and Health,0,2,2
Privacy and Data Security,25,62,62
Product Safety and Quality,21,108,108
Responsible Investment,0,0,0
Supply Chain Labor Standards,99,109,109
Not ESG,64,893,893
