,2020-NATIONAL AUSTRALIA BANK-Annual,2020-NATIONAL AUSTRALIA BANK-Sustainability,max
Biodiversity and Land Use,94,154,154
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,1,0,1
Financing Environmental Impact,26,4,26
Opportunities in Clean Tech,4,2,4
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,8,1,8
Packaging Material and Waste,12,13,13
Product Carbon Footprint,1,0,1
Raw Material Sourcing,2,0,2
Toxic Emissions and Waste,0,0,0
Water Stress,53,56,56
Accounting,1,0,1
Board,0,0,0
Business Ethics,109,73,109
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,8,2,8
Access to Communications,0,0,0
Access to Finance,12,0,12
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,196,164,196
Controversial Sourcing,1,0,1
Financial Product Safety,2,0,2
Health and Demographic Risk,4,0,4
Health and Safety,70,40,70
Human Capital Development,115,65,115
Labor Management,199,91,199
Opportunities in Nutrition and Health,4,2,4
Privacy and Data Security,63,62,63
Product Safety and Quality,54,27,54
Responsible Investment,0,0,0
Supply Chain Labor Standards,106,84,106
Not ESG,1725,176,1725
