,2020-NEC-Annual,2020-NEC-Sustainability,max
Biodiversity and Land Use,29,183,183
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,7,3,7
Financing Environmental Impact,2,0,2
Opportunities in Clean Tech,1,0,1
Opportunities in Green Building,0,1,1
Opportunities in Renewable Energy,9,12,12
Packaging Material and Waste,12,85,85
Product Carbon Footprint,1,1,1
Raw Material Sourcing,5,9,9
Toxic Emissions and Waste,0,3,3
Water Stress,12,82,82
Accounting,1,1,1
Board,0,0,0
Business Ethics,17,80,80
Ownership and Control,3,1,3
Pay,0,0,0
Tax Transparency,1,0,1
Access to Communications,0,1,1
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,1,1
Community Relations,29,112,112
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,49,157,157
Human Capital Development,33,87,87
Labor Management,168,292,292
Opportunities in Nutrition and Health,1,7,7
Privacy and Data Security,77,189,189
Product Safety and Quality,61,149,149
Responsible Investment,0,0,0
Supply Chain Labor Standards,48,136,136
Not ESG,243,213,243
