,2020-NIPPON STEEL CORPORATION-Sustainability,max
Biodiversity and Land Use,120,120
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,3,3
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,8,8
Packaging Material and Waste,205,205
Product Carbon Footprint,1,1
Raw Material Sourcing,14,14
Toxic Emissions and Waste,9,9
Water Stress,82,82
Accounting,0,0
Board,0,0
Business Ethics,13,13
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,17,17
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,37,37
Human Capital Development,12,12
Labor Management,76,76
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,2,2
Product Safety and Quality,50,50
Responsible Investment,0,0
Supply Chain Labor Standards,27,27
Not ESG,117,117
