,2020-NIPPON TELEGRAPH _ TELEPHONE-Annual,2020-NIPPON TELEGRAPH _ TELEPHONE-Sustainability,max
Biodiversity and Land Use,23,114,114
Carbon Emissions,0,0,0
Climate Change Vulnerability,1,1,1
Electronic Waste,8,5,8
Financing Environmental Impact,1,0,1
Opportunities in Clean Tech,5,0,5
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,8,5,8
Packaging Material and Waste,7,42,42
Product Carbon Footprint,0,0,0
Raw Material Sourcing,5,3,5
Toxic Emissions and Waste,0,2,2
Water Stress,33,60,60
Accounting,3,0,3
Board,0,0,0
Business Ethics,16,119,119
Ownership and Control,6,1,6
Pay,0,0,0
Tax Transparency,3,2,3
Access to Communications,6,2,6
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,4,1,4
Community Relations,52,124,124
Controversial Sourcing,0,0,0
Financial Product Safety,8,0,8
Health and Demographic Risk,0,1,1
Health and Safety,44,99,99
Human Capital Development,13,69,69
Labor Management,168,233,233
Opportunities in Nutrition and Health,15,3,15
Privacy and Data Security,156,152,156
Product Safety and Quality,29,46,46
Responsible Investment,4,0,4
Supply Chain Labor Standards,34,66,66
Not ESG,534,355,534
