,2020-NOKIA-Sustainability,2020-NOKIA-Annual,max
Biodiversity and Land Use,160,43,160
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,17,17
Financing Environmental Impact,0,7,7
Opportunities in Clean Tech,2,5,5
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,5,6,6
Packaging Material and Waste,124,20,124
Product Carbon Footprint,2,3,3
Raw Material Sourcing,1,9,9
Toxic Emissions and Waste,3,0,3
Water Stress,76,17,76
Accounting,0,2,2
Board,0,0,0
Business Ethics,131,93,131
Ownership and Control,0,3,3
Pay,0,0,0
Tax Transparency,0,6,6
Access to Communications,0,3,3
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,4,4
Community Relations,123,109,123
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,1,1
Health and Safety,78,46,78
Human Capital Development,117,130,130
Labor Management,123,218,218
Opportunities in Nutrition and Health,4,11,11
Privacy and Data Security,122,255,255
Product Safety and Quality,80,126,126
Responsible Investment,0,0,0
Supply Chain Labor Standards,111,97,111
Not ESG,295,1957,1957
