,2020-NORTHROP GRUMMAN-10K,2020-NORTHROP GRUMMAN-Annual,2020-NORTHROP GRUMMAN-Sustainability,max
Biodiversity and Land Use,37,40,84,84
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,0,1,0,1
Financing Environmental Impact,22,10,1,22
Opportunities in Clean Tech,1,0,0,1
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,0,1,1
Packaging Material and Waste,14,14,43,43
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,1,1,2,2
Toxic Emissions and Waste,0,0,0,0
Water Stress,6,6,49,49
Accounting,6,7,0,7
Board,0,1,0,1
Business Ethics,74,84,83,84
Ownership and Control,2,3,0,3
Pay,0,0,0,0
Tax Transparency,100,6,0,100
Access to Communications,0,0,0,0
Access to Finance,0,2,0,2
Access to Health Care,0,0,0,0
Chemical Safety,1,2,0,2
Community Relations,106,121,110,121
Controversial Sourcing,1,5,0,5
Financial Product Safety,0,1,0,1
Health and Demographic Risk,0,0,1,1
Health and Safety,50,54,87,87
Human Capital Development,83,91,173,173
Labor Management,83,93,76,93
Opportunities in Nutrition and Health,8,8,2,8
Privacy and Data Security,58,59,57,59
Product Safety and Quality,77,77,76,77
Responsible Investment,1,0,0,1
Supply Chain Labor Standards,118,123,65,123
Not ESG,852,880,120,880
