,2020-NOVARTIS-ESG,2020-NOVARTIS-Annual,max
Biodiversity and Land Use,98,44,98
Carbon Emissions,0,0,0
Climate Change Vulnerability,1,0,1
Electronic Waste,1,26,26
Financing Environmental Impact,2,14,14
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,3,2,3
Packaging Material and Waste,39,88,88
Product Carbon Footprint,3,3,3
Raw Material Sourcing,3,19,19
Toxic Emissions and Waste,2,5,5
Water Stress,45,14,45
Accounting,0,4,4
Board,0,0,0
Business Ethics,68,86,86
Ownership and Control,0,12,12
Pay,0,0,0
Tax Transparency,0,19,19
Access to Communications,1,2,2
Access to Finance,0,4,4
Access to Health Care,0,0,0
Chemical Safety,1,12,12
Community Relations,177,113,177
Controversial Sourcing,0,0,0
Financial Product Safety,2,1,2
Health and Demographic Risk,3,14,14
Health and Safety,514,430,514
Human Capital Development,85,127,127
Labor Management,86,222,222
Opportunities in Nutrition and Health,11,59,59
Privacy and Data Security,43,86,86
Product Safety and Quality,95,189,189
Responsible Investment,0,6,6
Supply Chain Labor Standards,70,163,163
Not ESG,200,2210,2210
