,2020-OMV GROUP-Annual,2020-OMV GROUP-Sustainability,max
Biodiversity and Land Use,118,290,290
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,18,6,18
Financing Environmental Impact,8,0,8
Opportunities in Clean Tech,2,1,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,2,4,4
Packaging Material and Waste,130,214,214
Product Carbon Footprint,2,2,2
Raw Material Sourcing,6,2,6
Toxic Emissions and Waste,2,4,4
Water Stress,224,234,234
Accounting,1,0,1
Board,0,0,0
Business Ethics,23,82,82
Ownership and Control,4,0,4
Pay,0,0,0
Tax Transparency,4,1,4
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,5,1,5
Community Relations,57,187,187
Controversial Sourcing,3,0,3
Financial Product Safety,3,0,3
Health and Demographic Risk,2,2,2
Health and Safety,62,206,206
Human Capital Development,26,73,73
Labor Management,138,131,138
Opportunities in Nutrition and Health,5,12,12
Privacy and Data Security,26,62,62
Product Safety and Quality,64,123,123
Responsible Investment,2,0,2
Supply Chain Labor Standards,50,76,76
Not ESG,1609,455,1609
