,2020-ONEX-Annual,max
Biodiversity and Land Use,6,6
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,3,3
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,4,4
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,9,9
Accounting,0,0
Board,0,0
Business Ethics,23,23
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,95,95
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,15,15
Human Capital Development,28,28
Labor Management,84,84
Opportunities in Nutrition and Health,1,1
Privacy and Data Security,12,12
Product Safety and Quality,5,5
Responsible Investment,0,0
Supply Chain Labor Standards,81,81
Not ESG,1188,1188
