,2020-ORACLE-CSR,2020-ORACLE-10K,max
Biodiversity and Land Use,74,6,74
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,3,3
Financing Environmental Impact,0,8,8
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,37,11,37
Product Carbon Footprint,0,1,1
Raw Material Sourcing,0,1,1
Toxic Emissions and Waste,0,0,0
Water Stress,26,5,26
Accounting,0,7,7
Board,0,1,1
Business Ethics,23,56,56
Ownership and Control,0,2,2
Pay,0,0,0
Tax Transparency,0,7,7
Access to Communications,0,3,3
Access to Finance,0,3,3
Access to Health Care,0,1,1
Chemical Safety,0,0,0
Community Relations,125,53,125
Controversial Sourcing,1,1,1
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,24,14,24
Human Capital Development,82,49,82
Labor Management,33,64,64
Opportunities in Nutrition and Health,0,2,2
Privacy and Data Security,40,286,286
Product Safety and Quality,16,67,67
Responsible Investment,0,1,1
Supply Chain Labor Standards,18,64,64
Not ESG,29,827,827
