,2020-PANASONIC-Annual,2020-PANASONIC-Sustainability,max
Biodiversity and Land Use,22,294,294
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,12,7,12
Financing Environmental Impact,3,2,3
Opportunities in Clean Tech,4,0,4
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,8,11,11
Packaging Material and Waste,34,239,239
Product Carbon Footprint,1,6,6
Raw Material Sourcing,15,4,15
Toxic Emissions and Waste,0,8,8
Water Stress,28,174,174
Accounting,0,0,0
Board,0,0,0
Business Ethics,15,91,91
Ownership and Control,6,0,6
Pay,0,0,0
Tax Transparency,6,2,6
Access to Communications,1,0,1
Access to Finance,2,0,2
Access to Health Care,0,0,0
Chemical Safety,0,7,7
Community Relations,36,67,67
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,0,0,0
Health and Safety,25,148,148
Human Capital Development,32,59,59
Labor Management,206,222,222
Opportunities in Nutrition and Health,5,11,11
Privacy and Data Security,23,38,38
Product Safety and Quality,52,193,193
Responsible Investment,4,0,4
Supply Chain Labor Standards,64,131,131
Not ESG,328,363,363
