,2020-PBF ENERGY-10K,max
Biodiversity and Land Use,172,172
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,3,3
Financing Environmental Impact,180,180
Opportunities in Clean Tech,4,4
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,131,131
Product Carbon Footprint,0,0
Raw Material Sourcing,4,4
Toxic Emissions and Waste,3,3
Water Stress,264,264
Accounting,6,6
Board,0,0
Business Ethics,53,53
Ownership and Control,1,1
Pay,0,0
Tax Transparency,74,74
Access to Communications,0,0
Access to Finance,7,7
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,102,102
Controversial Sourcing,3,3
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,42,42
Human Capital Development,69,69
Labor Management,83,83
Opportunities in Nutrition and Health,8,8
Privacy and Data Security,41,41
Product Safety and Quality,50,50
Responsible Investment,4,4
Supply Chain Labor Standards,87,87
Not ESG,1960,1960
