,2020-PEGATRON-Annual,2020-PEGATRON-CSR,max
Biodiversity and Land Use,36,102,102
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,23,1,23
Financing Environmental Impact,7,0,7
Opportunities in Clean Tech,2,0,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,40,62,62
Product Carbon Footprint,0,0,0
Raw Material Sourcing,5,1,5
Toxic Emissions and Waste,1,0,1
Water Stress,13,58,58
Accounting,2,0,2
Board,0,0,0
Business Ethics,85,35,85
Ownership and Control,2,0,2
Pay,0,0,0
Tax Transparency,5,2,5
Access to Communications,0,0,0
Access to Finance,1,0,1
Access to Health Care,0,0,0
Chemical Safety,3,1,3
Community Relations,60,26,60
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,2,0,2
Health and Safety,38,64,64
Human Capital Development,58,32,58
Labor Management,654,175,654
Opportunities in Nutrition and Health,2,0,2
Privacy and Data Security,56,27,56
Product Safety and Quality,147,92,147
Responsible Investment,1,0,1
Supply Chain Labor Standards,75,65,75
Not ESG,1618,155,1618
