,2020-PEOPLE_S INSURANCE CO. OF CHINA-Annual,max
Biodiversity and Land Use,9,9
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,11,11
Financing Environmental Impact,6,6
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,0,0
Packaging Material and Waste,3,3
Product Carbon Footprint,0,0
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,5,5
Accounting,4,4
Board,1,1
Business Ethics,30,30
Ownership and Control,4,4
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,3,3
Access to Health Care,0,0
Chemical Safety,3,3
Community Relations,84,84
Controversial Sourcing,0,0
Financial Product Safety,1,1
Health and Demographic Risk,3,3
Health and Safety,142,142
Human Capital Development,41,41
Labor Management,262,262
Opportunities in Nutrition and Health,13,13
Privacy and Data Security,39,39
Product Safety and Quality,126,126
Responsible Investment,1,1
Supply Chain Labor Standards,49,49
Not ESG,1556,1556
