,2020-PEPSICO-10K,2020-PEPSICO-Sustainability,2020-PEPSICO-Annual,max
Biodiversity and Land Use,43,173,57,173
Carbon Emissions,0,0,94,94
Climate Change Vulnerability,0,0,0,0
Electronic Waste,2,0,2,2
Financing Environmental Impact,4,0,39,39
Opportunities in Clean Tech,0,0,0,0
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,0,1,1
Packaging Material and Waste,63,128,67,128
Product Carbon Footprint,0,0,2,2
Raw Material Sourcing,2,1,4,4
Toxic Emissions and Waste,0,2,0,2
Water Stress,14,133,15,133
Accounting,10,0,7,10
Board,1,0,1,1
Business Ethics,65,3,72,72
Ownership and Control,0,0,1,1
Pay,0,0,0,0
Tax Transparency,149,0,7,149
Access to Communications,0,0,0,0
Access to Finance,6,0,4,6
Access to Health Care,0,0,0,0
Chemical Safety,1,0,1,1
Community Relations,76,76,87,87
Controversial Sourcing,0,0,0,0
Financial Product Safety,0,0,4,4
Health and Demographic Risk,1,0,0,1
Health and Safety,31,8,29,31
Human Capital Development,90,21,81,90
Labor Management,68,10,86,86
Opportunities in Nutrition and Health,12,6,20,20
Privacy and Data Security,47,1,47,47
Product Safety and Quality,62,10,66,66
Responsible Investment,2,0,3,3
Supply Chain Labor Standards,250,72,241,250
Not ESG,761,36,741,761
