,2020-PETROBRAS-Sustainability,max
Biodiversity and Land Use,352,352
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,14,14
Financing Environmental Impact,3,3
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,10,10
Packaging Material and Waste,116,116
Product Carbon Footprint,5,5
Raw Material Sourcing,11,11
Toxic Emissions and Waste,7,7
Water Stress,243,243
Accounting,0,0
Board,0,0
Business Ethics,191,191
Ownership and Control,0,0
Pay,0,0
Tax Transparency,6,6
Access to Communications,0,0
Access to Finance,1,1
Access to Health Care,1,1
Chemical Safety,5,5
Community Relations,206,206
Controversial Sourcing,1,1
Financial Product Safety,2,2
Health and Demographic Risk,2,2
Health and Safety,204,204
Human Capital Development,79,79
Labor Management,321,321
Opportunities in Nutrition and Health,6,6
Privacy and Data Security,75,75
Product Safety and Quality,128,128
Responsible Investment,3,3
Supply Chain Labor Standards,153,153
Not ESG,630,630
