,2020-PETRONAS-Annual,2020-PETRONAS-Sustainability,max
Biodiversity and Land Use,54,94,94
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,4,1,4
Financing Environmental Impact,6,1,6
Opportunities in Clean Tech,1,0,1
Opportunities in Green Building,3,0,3
Opportunities in Renewable Energy,1,0,1
Packaging Material and Waste,21,74,74
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,0,0
Water Stress,58,24,58
Accounting,0,0,0
Board,0,0,0
Business Ethics,39,33,39
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,3,0,3
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,47,57,57
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,0,0,0
Health and Safety,51,38,51
Human Capital Development,16,20,20
Labor Management,84,58,84
Opportunities in Nutrition and Health,0,0,0
Privacy and Data Security,20,33,33
Product Safety and Quality,53,78,78
Responsible Investment,1,0,1
Supply Chain Labor Standards,42,51,51
Not ESG,381,70,381
