,2020-PFIZER-Annual,2020-PFIZER-ESG,2020-PFIZER-10K,max
Biodiversity and Land Use,80,80,41,80
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,0,0,1,1
Financing Environmental Impact,1,1,4,4
Opportunities in Clean Tech,0,0,0,0
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,2,2,0,2
Packaging Material and Waste,25,25,41,41
Product Carbon Footprint,2,2,0,2
Raw Material Sourcing,0,0,2,2
Toxic Emissions and Waste,0,0,0,0
Water Stress,45,45,10,45
Accounting,0,0,3,3
Board,0,0,0,0
Business Ethics,41,41,92,92
Ownership and Control,0,0,3,3
Pay,0,0,0,0
Tax Transparency,2,2,180,180
Access to Communications,0,0,3,3
Access to Finance,0,0,5,5
Access to Health Care,1,1,1,1
Chemical Safety,1,1,3,3
Community Relations,72,72,146,146
Controversial Sourcing,0,0,1,1
Financial Product Safety,0,0,1,1
Health and Demographic Risk,0,0,4,4
Health and Safety,144,144,241,241
Human Capital Development,61,61,107,107
Labor Management,42,42,82,82
Opportunities in Nutrition and Health,6,6,30,30
Privacy and Data Security,31,31,71,71
Product Safety and Quality,47,47,223,223
Responsible Investment,1,1,2,2
Supply Chain Labor Standards,38,38,180,180
Not ESG,75,75,1278,1278
